Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Korea, Rep.",34.11677597,34.45096726,34.13469264,34.44782919,34.09167237,34.14993567,34.29779968,34.76630854,34.04580231,32.67914892,32.5381602,32.4320155,31.72630126,31.59416497,
Kuwait,66.06557599,72.72497333,74.81232078,73.09869385,70.54831668,55.93584566,52.13478016,55.61921587,60.12765373,57.71865674,48.46121018,58.26413315,65.60966537,60.74828213,
Latin America & Caribbean (excluding high income),26.96251152,27.30000004,27.02503773,26.04634256,25.50585267,24.57648498,23.77629331,23.87325238,24.72244166,24.59392499,24.50819569,26.4391551,27.0773257,26.41839815,
Lao PDR,30.46602109,30.81597019,32.43664467,30.42770755,28.81500055,27.69334425,28.75950464,30.9124754,31.53319249,31.53138199,32.41636783,34.12997772,34.10897973,30.53358083,
Lebanon,13.80937621,14.50621607,15.48551974,16.34379623,16.20941013,15.70518464,15.95390381,14.92687978,13.80560238,12.49911818,6.638166395,2.758632074,2.3907621,,
Liberia,4.999614615,8.300116764,14.58892598,19.51825415,18.55481,16.82484548,13.770442,15.44165143,16.92386495,16.98960702,16.94895131,18.21779055,20.68854727,24.1745283,
Libya,75.74498699,53.8989087,73.73692992,65.12375891,46.76927755,34.82896933,26.07707627,38.98001611,49.67675801,49.97761793,15.95020364,74.91210084,76.83807986,77.34007851,
St. Lucia,11.69936339,11.0709394,10.88233113,10.23825458,9.981366986,10.8613695,10.99284454,10.88213491,9.858749955,9.044631021,12.66717719,11.28654739,8.865982641,9.685432987,
Latin America & Caribbean,29.17513688,28.93496168,28.58756799,27.63398997,26.90657022,29.05312273,28.12332741,28.17173717,29.11270349,28.94234649,29.02290612,31.13604003,31.82976447,31.0426783,
Least developed countries: UN classification,29.12608863,30.98781235,30.4617446,29.49856936,28.83293277,26.82894915,27.46669887,28.68911864,30.9289555,30.25494474,29.50579036,29.93437994,30.37123047,29.0490128,
Low income,28.48136426,29.39663649,25.51961981,24.48140597,25.46828085,23.74239513,23.17752257,24.90141567,28.8701498,25.40623272,25.42640505,24.93281161,24.95976956,23.09971074,
Liechtenstein,,,,39.30458267,39.64717263,37.26026489,41.95437832,44.07861714,41.75503469,44.29522857,40.30361983,40.20096223,,,
Sri Lanka,27.7831983,29.07314976,30.96985381,30.79568073,30.51789543,29.53541787,30.48271773,31.12827865,30.05681952,29.19100987,28.23583249,29.95400977,29.80867832,25.5926109,
Lower middle income,29.17917727,29.65291222,29.69071588,29.01907579,28.37019773,27.13977326,26.51608016,27.07675359,27.6114539,27.22356236,27.13398484,28.0320124,28.00893433,27.463732,
Low & middle income,36.00584268,36.67012101,36.47878114,35.70315232,35.05471514,33.6605528,32.89708314,33.30140399,33.99013543,33.1686572,32.86282313,34.61947107,34.80319783,33.45618676,
Lesotho,31.46335213,33.19964991,30.81793982,29.02324456,32.16087362,33.7385657,30.58664757,28.57306173,31.13904258,30.5436539,31.07920713,32.07145827,30.48874128,28.73226229,
Late-demographic dividend,38.42313941,38.71539839,38.49688684,37.67377255,37.25782065,36.56714449,35.47458593,35.6166449,36.28440596,35.45152282,35.03309526,36.74959347,37.12563326,35.62648244,
Lithuania,26.21165181,28.35343171,28.20019993,27.62426892,27.72644118,26.96369786,25.99746022,25.72045768,25.57887872,25.25641494,24.78769007,24.85875092,25.63986959,24.23709429,
Luxembourg,10.99797265,10.70843828,10.42671879,10.44294198,10.81088063,11.53962343,12.09593256,10.81833686,10.98065234,11.59889581,11.31189448,10.72099889,10.39672252,10.47191474,
Latvia,20.8612026,21.41890103,21.41559034,20.8210959,19.61860433,19.78345674,19.16543657,19.77672939,19.3453568,19.59885279,20.33418377,21.09083701,20.72070208,22.33812476,
"Macao SAR, China",4.808470909,4.160602224,4.035006375,3.719346479,5.039268807,7.695964505,6.620618076,4.996772845,4.090661172,4.213344131,8.485165777,7.68616442,9.251920664,5.444753715,
St. Martin (French part),,,,,,,,,,,,,,,
Morocco,23.71191269,24.50651919,24.26597735,24.15312888,25.81326751,25.62268173,25.68510458,25.40545481,25.24135381,25.24995241,26.04364339,25.95390905,25.91130939,24.55831041,
Monaco,12.92234736,12.82520232,13.01624234,13.9971637,12.62918561,17.59173987,18.25599097,12.80195358,13.14703707,13.03616102,14.89614445,12.54577624,12.27578945,11.51869841,
Moldova,20.43389172,20.91072042,21.31451091,21.60325754,21.1263772,21.10766573,21.19446461,21.01887677,22.14797636,21.92334893,23.134523,20.63126068,19.41539644,17.44038306,
Madagascar,18.00752056,17.85327281,17.27608432,17.90961382,19.24978287,18.95088473,19.40994447,20.11235766,21.48195747,22.44549735,19.46618711,21.72586417,22.60819436,22.38683492,
Maldives,9.431755806,10.07448199,9.790791627,8.058403066,8.413910755,10.7232266,11.27414928,11.42519846,13.0536487,11.9425438,12.56051383,9.192297547,9.918601287,9.69157991,
Middle East & North Africa,47.26434414,50.12589101,50.1788878,48.69729735,46.25578392,37.96255009,36.09438507,38.17786488,41.39724475,39.32169324,34.61784999,39.0669082,44.95167576,40.63871829,
Mexico,32.53948705,33.82310221,34.09634249,32.16827511,31.91755411,30.84025359,30.61679139,31.95868467,32.04386545,31.83829613,30.99998039,31.96952899,33.07251192,31.559312,
Marshall Islands,14.62290503,13.53737667,13.34742667,13.88433476,14.5738172,11.29885683,15.29697721,13.01230697,12.19868182,14.41717475,13.34536807,10.64943994,8.49952644,11.06027767,
Middle income,36.16279765,36.8094818,36.65740806,35.88000913,35.21097325,33.82403109,33.04211598,33.42215198,34.06505126,33.28293771,32.9753596,34.74977501,34.95073366,33.63856143,
